Tcmb TR Beta
2.728860403406536683e+00 1.209112374129949874e+00 -2.606330461124977127e+00
2.726935426392140815e+00 1.259492380462467587e+00 -2.572309833353862096e+00
2.730563623398876594e+00 1.150992533334996848e+00 -2.666220822770474896e+00
2.724647453854529555e+00 1.306395480647355223e+00 -2.626631108480806276e+00
2.729907427515316343e+00 1.273340374362680327e+00 -2.649225944384837383e+00
2.728769594739792304e+00 1.229107084241210845e+00 -2.633283851927638253e+00
2.726457173378369347e+00 1.433717156385633018e+00 -2.616967791690605338e+00
2.724898916221899725e+00 1.242338915074596484e+00 -2.554791172930347187e+00
2.729443463445821116e+00 1.262251806555843903e+00 -2.631135140341650747e+00
2.733457760161106975e+00 1.149126000718229790e+00 -2.629931951045078264e+00
2.729747961971844106e+00 1.069974564918547477e+00 -2.644099094118679716e+00
2.735381685013828612e+00 1.102793753024982726e+00 -2.626567491151958755e+00
2.728497982076530270e+00 1.339587784237641133e+00 -2.586143740027448068e+00
2.722463921031867962e+00 1.193814348046239315e+00 -2.613144602639103198e+00
2.734585778886380769e+00 1.149442451756995887e+00 -2.635305523744781553e+00
2.724929105248475203e+00 1.264304752234280294e+00 -2.632026968641520526e+00
2.728174882472691465e+00 1.266801006967903431e+00 -2.615044569710222255e+00
2.732224520512922528e+00 1.149231496670656494e+00 -2.666226440546632936e+00
2.728071385267443194e+00 1.362570065327663116e+00 -2.557481745778810378e+00
2.732686719207154447e+00 1.104626881944170913e+00 -2.632271662589184658e+00
2.730287158642576095e+00 1.242441502855993418e+00 -2.616525501180936075e+00
2.724542913230169727e+00 1.274665704083382423e+00 -2.537823546635195271e+00
2.737021967587340843e+00 1.160674834783448350e+00 -2.648970709417889147e+00
2.730073078766830363e+00 1.231334514618676490e+00 -2.595090691839611274e+00
2.734187520238047675e+00 1.067762425852641028e+00 -2.649730831966153666e+00
2.728647927597946943e+00 1.169114561551362730e+00 -2.633546155262881605e+00
2.734585778886380769e+00 1.149442451756995887e+00 -2.635305523744781553e+00
