01:43:24 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=data/, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=1000..65536
01:43:24 [ultranest] [INFO] Sampling 300 live points from prior ...
01:43:25 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
01:43:25 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
01:43:25 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 300.0), (inf, 300.0)]
01:43:32 [ultranest] [DEBUG] iteration=1422, ncalls=4154, regioncalls=36000, ndraw=1000, logz=-7916.15, remainder_fraction=100.0000%, Lmin=-7898.02, Lmax=-11.53
01:43:32 [ultranest] [DEBUG] iteration=1439, ncalls=4229, regioncalls=38000, ndraw=1000, logz=-7490.34, remainder_fraction=100.0000%, Lmin=-7468.02, Lmax=-11.53
01:43:32 [ultranest] [DEBUG] iteration=1440, ncalls=4229, regioncalls=38000, ndraw=1000, logz=-7478.52, remainder_fraction=100.0000%, Lmin=-7440.60, Lmax=-11.53
01:43:33 [ultranest] [DEBUG] iteration=1461, ncalls=4317, regioncalls=40000, ndraw=1000, logz=-6965.27, remainder_fraction=100.0000%, Lmin=-6915.16, Lmax=-11.53
01:43:33 [ultranest] [DEBUG] iteration=1470, ncalls=4362, regioncalls=41000, ndraw=1000, logz=-6687.73, remainder_fraction=100.0000%, Lmin=-6583.12, Lmax=-11.53
01:43:33 [ultranest] [DEBUG] iteration=1474, ncalls=4392, regioncalls=42000, ndraw=1000, logz=-6554.49, remainder_fraction=100.0000%, Lmin=-6395.23, Lmax=-11.53
01:43:33 [ultranest] [DEBUG] iteration=1486, ncalls=4454, regioncalls=44000, ndraw=1000, logz=-6084.31, remainder_fraction=100.0000%, Lmin=-6013.34, Lmax=-11.53
01:43:33 [ultranest] [DEBUG] iteration=1500, ncalls=4488, regioncalls=45000, ndraw=1000, logz=-5743.73, remainder_fraction=100.0000%, Lmin=-5719.51, Lmax=-11.53
01:43:33 [ultranest] [DEBUG] iteration=1516, ncalls=4557, regioncalls=47000, ndraw=1000, logz=-5490.54, remainder_fraction=100.0000%, Lmin=-5469.75, Lmax=-11.53
01:43:33 [ultranest] [DEBUG] iteration=1530, ncalls=4595, regioncalls=48000, ndraw=1000, logz=-5215.33, remainder_fraction=100.0000%, Lmin=-5189.68, Lmax=-11.53
01:43:33 [ultranest] [DEBUG] iteration=1539, ncalls=4656, regioncalls=50000, ndraw=1000, logz=-5072.68, remainder_fraction=100.0000%, Lmin=-5045.83, Lmax=-11.53
01:43:33 [ultranest] [DEBUG] iteration=1549, ncalls=4721, regioncalls=52000, ndraw=1000, logz=-4931.20, remainder_fraction=100.0000%, Lmin=-4918.20, Lmax=-11.53
01:43:33 [ultranest] [DEBUG] iteration=1560, ncalls=4756, regioncalls=53000, ndraw=1000, logz=-4730.58, remainder_fraction=100.0000%, Lmin=-4706.09, Lmax=-11.53
01:43:33 [ultranest] [DEBUG] iteration=1565, ncalls=4821, regioncalls=55000, ndraw=1000, logz=-4650.82, remainder_fraction=100.0000%, Lmin=-4639.61, Lmax=-11.53
01:43:34 [ultranest] [DEBUG] iteration=1571, ncalls=4882, regioncalls=57000, ndraw=1000, logz=-4493.72, remainder_fraction=100.0000%, Lmin=-4470.39, Lmax=-11.53
01:43:34 [ultranest] [DEBUG] iteration=1585, ncalls=4965, regioncalls=60000, ndraw=1000, logz=-4320.68, remainder_fraction=100.0000%, Lmin=-4302.07, Lmax=-11.53
01:43:34 [ultranest] [DEBUG] iteration=1590, ncalls=4996, regioncalls=61000, ndraw=1000, logz=-4284.52, remainder_fraction=100.0000%, Lmin=-4258.42, Lmax=-11.53
01:43:34 [ultranest] [DEBUG] iteration=1598, ncalls=5075, regioncalls=64000, ndraw=1000, logz=-4194.83, remainder_fraction=100.0000%, Lmin=-4176.34, Lmax=-11.53
01:43:34 [ultranest] [DEBUG] iteration=1608, ncalls=5129, regioncalls=66000, ndraw=1000, logz=-4040.11, remainder_fraction=100.0000%, Lmin=-3997.89, Lmax=-11.53
01:43:34 [ultranest] [DEBUG] iteration=1615, ncalls=5188, regioncalls=68000, ndraw=1000, logz=-3926.12, remainder_fraction=100.0000%, Lmin=-3893.30, Lmax=-11.53
01:43:34 [ultranest] [DEBUG] iteration=1620, ncalls=5239, regioncalls=70000, ndraw=1000, logz=-3839.09, remainder_fraction=100.0000%, Lmin=-3823.77, Lmax=-11.53
01:43:34 [ultranest] [DEBUG] iteration=1634, ncalls=5300, regioncalls=72000, ndraw=1000, logz=-3682.71, remainder_fraction=100.0000%, Lmin=-3669.06, Lmax=-11.53
01:43:34 [ultranest] [DEBUG] iteration=1642, ncalls=5363, regioncalls=74000, ndraw=1000, logz=-3552.35, remainder_fraction=100.0000%, Lmin=-3525.90, Lmax=-11.53
01:43:34 [ultranest] [DEBUG] iteration=1650, ncalls=5363, regioncalls=74000, ndraw=1000, logz=-3397.06, remainder_fraction=100.0000%, Lmin=-3381.97, Lmax=-11.53
01:43:35 [ultranest] [DEBUG] iteration=1661, ncalls=5429, regioncalls=77000, ndraw=1000, logz=-3263.85, remainder_fraction=100.0000%, Lmin=-3250.68, Lmax=-11.53
01:43:35 [ultranest] [DEBUG] iteration=1671, ncalls=5489, regioncalls=79000, ndraw=1000, logz=-3149.51, remainder_fraction=100.0000%, Lmin=-3129.16, Lmax=-11.53
01:43:35 [ultranest] [DEBUG] iteration=1680, ncalls=5549, regioncalls=81000, ndraw=1000, logz=-3070.25, remainder_fraction=100.0000%, Lmin=-3057.19, Lmax=-11.53
01:43:35 [ultranest] [DEBUG] iteration=1690, ncalls=5615, regioncalls=84000, ndraw=1000, logz=-2992.01, remainder_fraction=100.0000%, Lmin=-2979.65, Lmax=-11.53
01:43:35 [ultranest] [DEBUG] iteration=1693, ncalls=5675, regioncalls=87000, ndraw=1000, logz=-2966.02, remainder_fraction=100.0000%, Lmin=-2934.71, Lmax=-11.53
01:43:35 [ultranest] [DEBUG] iteration=1701, ncalls=5751, regioncalls=90000, ndraw=1000, logz=-2851.59, remainder_fraction=100.0000%, Lmin=-2831.79, Lmax=-11.53
01:43:35 [ultranest] [DEBUG] iteration=1710, ncalls=5855, regioncalls=94000, ndraw=1000, logz=-2758.05, remainder_fraction=100.0000%, Lmin=-2742.29, Lmax=-11.53
01:43:35 [ultranest] [DEBUG] iteration=1719, ncalls=5935, regioncalls=97000, ndraw=1000, logz=-2685.57, remainder_fraction=100.0000%, Lmin=-2673.69, Lmax=-11.53
01:43:35 [ultranest] [DEBUG] iteration=1728, ncalls=5999, regioncalls=100000, ndraw=1000, logz=-2618.53, remainder_fraction=100.0000%, Lmin=-2602.38, Lmax=-11.53
01:43:36 [ultranest] [DEBUG] iteration=1736, ncalls=6075, regioncalls=103000, ndraw=1000, logz=-2547.13, remainder_fraction=100.0000%, Lmin=-2533.86, Lmax=-11.53
01:43:36 [ultranest] [DEBUG] iteration=1740, ncalls=6093, regioncalls=104000, ndraw=1000, logz=-2510.05, remainder_fraction=100.0000%, Lmin=-2484.22, Lmax=-11.53
01:43:36 [ultranest] [DEBUG] iteration=1748, ncalls=6160, regioncalls=107000, ndraw=1000, logz=-2409.92, remainder_fraction=100.0000%, Lmin=-2396.91, Lmax=-11.53
01:43:36 [ultranest] [DEBUG] iteration=1754, ncalls=6228, regioncalls=110000, ndraw=1000, logz=-2364.74, remainder_fraction=100.0000%, Lmin=-2352.18, Lmax=-11.53
01:43:36 [ultranest] [DEBUG] iteration=1762, ncalls=6303, regioncalls=113000, ndraw=1000, logz=-2312.75, remainder_fraction=100.0000%, Lmin=-2266.19, Lmax=-11.53
01:43:36 [ultranest] [DEBUG] iteration=1770, ncalls=6351, regioncalls=115000, ndraw=1000, logz=-2174.79, remainder_fraction=100.0000%, Lmin=-2158.27, Lmax=-11.53
01:43:36 [ultranest] [DEBUG] iteration=1778, ncalls=6416, regioncalls=118000, ndraw=1000, logz=-2107.41, remainder_fraction=100.0000%, Lmin=-2062.78, Lmax=-11.53
01:43:36 [ultranest] [DEBUG] iteration=1784, ncalls=6484, regioncalls=121000, ndraw=1000, logz=-2044.64, remainder_fraction=100.0000%, Lmin=-2021.59, Lmax=-11.53
01:43:36 [ultranest] [DEBUG] iteration=1796, ncalls=6566, regioncalls=124000, ndraw=1000, logz=-1981.34, remainder_fraction=100.0000%, Lmin=-1964.58, Lmax=-11.53
01:43:37 [ultranest] [DEBUG] iteration=1800, ncalls=6622, regioncalls=126000, ndraw=1000, logz=-1967.11, remainder_fraction=100.0000%, Lmin=-1945.41, Lmax=-11.53
